Site, Member, Distance, Distance_Value, Duration, Duration_value
6,63,3.3 mi,1075,18 mins,1075
6,64,7.2 mi,1306,22 mins,1306
6,65,16.9 mi,2180,36 mins,2180
6,66,14.2 mi,1876,31 mins,1876
6,67,12.1 mi,2109,35 mins,2109
6,68,9.2 mi,1763,29 mins,1763
6,69,13.4 mi,1816,30 mins,1816
6,70,3.8 mi,1375,23 mins,1375
6,71,3.2 mi,1160,19 mins,1160
6,72,6.8 mi,1307,22 mins,1307
6,73,12.0 mi,1523,25 mins,1523
6,74,2.9 mi,1101,18 mins,1101
6,75,9.0 mi,1533,26 mins,1533
6,76,6.6 mi,1324,22 mins,1324
6,77,3.1 mi,1112,19 mins,1112
6,78,4.3 mi,859,14 mins,859
6,79,19.1 mi,2190,37 mins,2190
6,80,1.7 mi,656,11 mins,656
6,81,7.3 mi,1238,21 mins,1238
